company,country,director,genre,name,rating,star,writer,released,budget,gross,runtime,score,votes,year
Universal Pictures,USA,Joe Johnston,Action,Jurassic Park III,PG-13,Sam Neill,Michael Crichton,18/07/2001,93000000,181171875,92,5.9,239644,2001
Columbia Pictures Corporation,USA,Michael Mann,Biography,Ali,R,Will Smith,Gregory Allen Howard,25/12/2001,107000000,58203105,157,6.8,83314,2001
Lee Daniels Entertainment,USA,Marc Forster,Drama,Monster's Ball,R,Billy Bob Thornton,Milo Addica,01/03/2002,4000000,31252964,111,7.1,74601,2001
Dimension Films,USA,Kevin Smith,Comedy,Jay and Silent Bob Strike Back,R,Jason Mewes,Kevin Smith,24/08/2001,22000000,30059386,104,6.9,134314,2001
United Artists,USA,Terry Zwigoff,Comedy,Ghost World,R,Steve Buscemi,Daniel Clowes,21/09/2001,7000000,6217849,111,7.4,101596,2001
Paramount Pictures,USA,Jerry Zucker,Adventure,Rat Race,PG-13,Breckin Meyer,Andy Breckman,17/08/2001,48000000,56618055,112,6.4,97606,2001
Universal Pictures,Canada,Harry Elfont,Comedy,Josie and the Pussycats,PG-13,Rachael Leigh Cook,Deborah Kaplan,11/04/2001,39000000,14252830,98,5.3,19643,2001
IMF Internationale Medien und Film GmbH & Co. 2. Produktions KG,USA,Iain Softley,Drama,K-PAX,PG-13,Kevin Spacey,Gene Brewer,26/10/2001,68000000,50338485,120,7.4,158661,2001
Twentieth Century Fox Film Corporation,USA,Bobby Farrelly,Comedy,Shallow Hal,PG-13,Jack Black,Sean Moynihan,09/11/2001,40000000,70836296,114,5.9,114670,2001
Paramount Pictures,USA,Frank Oz,Crime,The Score,R,Robert De Niro,Daniel E. Taylor,13/07/2001,68000000,71069884,124,6.8,107003,2001
Jersey Films,USA,Jesse Dylan,Comedy,How High,R,Method Man,Dustin Lee Abraham,21/12/2001,20000000,31155435,93,6.3,45777,2001
New Line Cinema,USA,James Isaac,Action,Jason X,R,Kane Hodder,Victor Miller,26/04/2002,11000000,13121555,91,4.4,41959,2001
Jonathan Krane Group,USA,Dominic Sena,Action,Swordfish,R,John Travolta,Skip Woods,08/06/2001,102000000,69772969,99,6.5,161863,2001
Morgan Creek Productions,USA,Sean Penn,Crime,The Pledge,R,Jack Nicholson,Friedrich Dürrenmatt,19/01/2001,35000000,19719930,124,6.8,45224,2001
USA Films,USA,Brad Anderson,Horror,Session 9,R,David Caruso,Brad Anderson,14/09/2001,1500000,378176,100,6.5,46688,2001
Fox Searchlight Pictures,USA,Richard Linklater,Animation,Waking Life,R,Ethan Hawke,Richard Linklater,16/11/2001,0,2892011,99,7.8,52974,2001
New Line Cinema,USA,Brett Ratner,Action,Rush Hour 2,PG-13,Jackie Chan,Ross LaManna,03/08/2001,90000000,226164286,90,6.6,171603,2001
David Kirschner Productions,USA,Bill Paxton,Crime,Frailty,R,Bill Paxton,Brent Hanley,12/04/2002,11000000,13103828,100,7.3,65717,2001
Columbia Pictures Corporation,USA,Dennie Gordon,Adventure,Joe Dirt,PG-13,David Spade,David Spade,11/04/2001,17700000,27087695,91,5.9,44133,2001
StudioCanal,USA,Larry Clark,Biography,Bully,R,Brad Renfro,Jim Schutze,28/06/2002,0,1537670,108,7,30774,2001
DreamWorks,USA,Gore Verbinski,Adventure,The Mexican,R,Brad Pitt,J.H. Wyman,02/03/2001,57000000,66808615,123,6.1,91818,2001
"Deseo, El",Spain,Guillermo del Toro,Drama,The Devil's Backbone,R,Marisa Paredes,Guillermo del Toro,19/10/2007,4500000,754749,106,7.5,51628,2001
Regency Enterprises,USA,John Dahl,Mystery,Joy Ride,R,Steve Zahn,Clay Tarver,05/10/2001,23000000,21973182,97,6.6,56355,2001
Paramount Pictures,USA,Lee Tamahori,Drama,Along Came a Spider,R,Morgan Freeman,James Patterson,06/04/2001,60000000,74078174,104,6.3,62868,2001
Good Machine,USA,Joel Coen,Crime,The Man Who Wasn't There,R,Billy Bob Thornton,Joel Coen,16/11/2001,20000000,7494849,116,7.6,90712,2001
Cort/Madden Productions,USA,Thomas Carter,Drama,Save the Last Dance,PG-13,Julia Stiles,Duane Adler,12/01/2001,13000000,91057006,112,6.2,50689,2001
Twentieth Century Fox Film Corporation,USA,John Moore,Action,Behind Enemy Lines,PG-13,Gene Hackman,Jim Thomas,30/11/2001,40000000,59068786,106,6.4,90731,2001
USA Films,UK,Robert Altman,Comedy,Gosford Park,R,Maggie Smith,Julian Fellowes,18/01/2002,19800000,41308615,131,7.3,68601,2001
Bandeira Entertainment,USA,Blair Hayes,Adventure,Bubble Boy,PG-13,Jake Gyllenhaal,Cinco Paul,24/08/2001,13000000,5002310,84,5.6,27008,2001
Columbia Pictures Corporation,USA,Ivan Reitman,Comedy,Evolution,PG-13,David Duchovny,Don Jakoby,08/06/2001,80000000,38345494,101,6.1,106732,2001
Canal+,France,Christophe Gans,Action,Brotherhood of the Wolf,R,Samuel Le Bihan,Stéphane Cabel,01/02/2002,0,11260096,142,7.1,55046,2001
Universal Pictures,Germany,Tony Scott,Action,Juego de espías,R,Robert Redford,Michael Frost Beckner,21/11/2001,115000000,26871,126,7.1,127397,2001
Columbia Pictures,USA,John Singleton,Crime,Baby Boy,R,AlexSandra Wright,John Singleton,27/06/2001,16000000,28734552,130,6.4,10533,2001
Konrad Pictures,USA,James Mangold,Comedy,Kate & Leopold,PG-13,Meg Ryan,Steven Rogers,25/12/2001,48000000,47121859,118,6.4,69008,2001
Davis Entertainment,USA,David Mirkin,Comedy,Heartbreakers,PG-13,Sigourney Weaver,Robert Dunn,23/03/2001,35000000,40334024,123,6.2,46273,2001
Screen Gems,USA,John Carpenter,Action,Ghosts of Mars,R,Natasha Henstridge,Larry Sulkis,24/08/2001,28000000,8434601,98,4.9,45304,2001
Regency Enterprises,USA,Gary Fleder,Drama,Don't Say a Word,R,Michael Douglas,Andrew Klavan,28/09/2001,50000000,55001642,113,6.3,42609,2001
Warner Bros.,USA,Bobby Farrelly,Animation,Osmosis Jones,PG,Laurence Fishburne,Marc Hyman,10/08/2001,70000000,13596911,95,6.3,27295,2001
Bungalow Productions,Australia,Simon Wincer,Adventure,Cocodrilo Dundee en Hollywood,PG,Paul Hogan,Paul Hogan,20/04/2001,21150000,25635682,92,4.8,20819,2001
Fuller Films,USA,Henry Bean,Drama,The Believer,R,Ryan Gosling,Henry Bean,23/08/2001,1500000,406035,98,7.2,32324,2001
Warner Bros.,USA,Pat O'Connor,Drama,Sweet November,PG-13,Keanu Reeves,Herman Raucher,16/02/2001,40000000,25288103,119,6.7,74702,2001
Metro-Goldwyn-Mayer (MGM),USA,Barry Levinson,Comedy,Bandits,PG-13,Bruce Willis,Harley Peyton,12/10/2001,75000000,41575141,123,6.5,59465,2001
DreamWorks,USA,Rod Lurie,Action,The Last Castle,R,Robert Redford,David Scarpa,19/10/2001,72000000,18208078,131,6.9,60328,2001
Warner Bros.,USA,Jamie Blanks,Horror,Valentine,R,Denise Richards,Tom Savage,02/02/2001,10000000,20384136,96,4.7,21498,2001
Columbia Pictures Corporation,Germany,Adam Shankman,Comedy,The Wedding Planner,PG-13,Jennifer Lopez,Pamela Falk,26/01/2001,35000000,60400856,103,5.2,65818,2001
Aamir Khan Productions,India,Ashutosh Gowariker,Adventure,Lagaan: Once Upon a Time in India,PG,Aamir Khan,Ashutosh Gowariker,08/05/2002,6000000,70147,224,8.2,82703,2001
Star Overseas,Hong Kong,Stephen Chow,Action,Shaolin Soccer,PG,Stephen Chow,Stephen Chow,12/07/2001,10000000,488872,113,7.3,62092,2001
Typhoon,Germany,Oliver Hirschbiegel,Drama,The Experiment,R,Moritz Bleibtreu,Mario Giordano,15/11/2002,0,141072,114,7.8,82797,2001
New Line Cinema,USA,John Herzfeld,Action,15 Minutes,R,Robert De Niro,John Herzfeld,09/03/2001,60000000,24403552,120,6.1,44327,2001
Castle Rock Entertainment,USA,Scott Hicks,Drama,Hearts in Atlantis,PG-13,Anthony Hopkins,Stephen King,28/09/2001,31000000,24185781,101,6.9,32102,2001
Paramount Pictures,USA,Louis C.K.,Comedy,Pootie Tang,PG-13,Chris Rock,Louis C.K.,29/06/2001,7000000,3293258,81,5.2,11971,2001
Téléma,France,Patrice Chéreau,Drama,Intimidad,R,Mark Rylance,Hanif Kureishi,08/02/2002,0,103440,119,6.2,9815,2001
Castle Rock Entertainment,USA,Frank Darabont,Drama,The Majestic,PG,Jim Carrey,Michael Sloane,21/12/2001,72000000,27807266,152,6.9,47073,2001
Winkler Films,USA,Irwin Winkler,Drama,Life as a House,R,Hayden Christensen,Mark Andrus,09/11/2001,27000000,15652637,125,7.5,40296,2001
Twentieth Century Fox Film Corporation,France,Chris Nahon,Action,Kiss of the Dragon,R,Jet Li,Jet Li,06/07/2001,25000000,36845124,98,6.6,55439,2001
Fox 2000 Pictures,USA,Tony Goldwyn,Comedy,Someone Like You...,PG-13,Ashley Judd,Laura Zigman,30/03/2001,23000000,27338033,97,6.1,21020,2001
Revolution Studios,USA,Joe Roth,Comedy,America's Sweethearts,PG-13,Julia Roberts,Billy Crystal,20/07/2001,46000000,93607673,102,5.7,49618,2001
Columbia Pictures,USA,Penny Marshall,Biography,Riding in Cars with Boys,PG-13,Drew Barrymore,Beverly D'Onofrio,19/10/2001,48000000,30165536,132,6.5,23914,2001
Paramount Pictures,USA,John A. Davis,Animation,Jimmy Neutron: Boy Genius,G,Debi Derryberry,John A. Davis,21/12/2001,30000000,80936232,82,6,25867,2001
Morgan Creek Productions,Canada,David Mamet,Action,Heist,R,Gene Hackman,David Mamet,09/11/2001,39000000,47239,109,6.5,29165,2001
Touchstone Pictures,USA,Brendan Malloy,Comedy,Out Cold,PG-13,Flex Alexander,Jon Zack,21/11/2001,24000000,13903262,89,6.3,15136,2001
Warner Bros.,USA,Lawrence Guterman,Action,Cats & Dogs,PG,Alec Baldwin,John Requa,04/07/2001,60000000,93385515,87,5.1,48987,2001
Columbia Pictures Corporation,USA,Daniel Sackheim,Crime,The Glass House,PG-13,Diane Lane,Wesley Strick,14/09/2001,30000000,18001232,106,5.8,27097,2001
Revolution Studios,USA,James Wong,Action,The One,PG-13,Jet Li,Glen Morgan,02/11/2001,49000000,43905746,87,5.9,81803,2001
Chickie the Cop,USA,Tim Blake Nelson,Drama,O,R,Mekhi Phifer,William Shakespeare,31/08/2001,5000000,16017403,95,6.2,17805,2001
Cité-Amérique,Canada,Léa Pool,Drama,Lost and Delirious,R,Piper Perabo,Susan Swan,20/09/2001,0,302365,103,7,17910,2001
Miramax,USA,Tommy O'Haver,Comedy,Get Over It,PG-13,Kirsten Dunst,R. Lee Fleming Jr.,09/03/2001,22000000,11560259,87,5.8,16224,2001
Chris Lee Productions,USA,Hironobu Sakaguchi,Animation,Final Fantasy: The Spirits Within,PG-13,Alec Baldwin,Hironobu Sakaguchi,11/07/2001,137000000,32131830,106,6.4,75443,2001
Columbia Pictures Corporation,USA,Dennis Dugan,Action,Saving Silverman,PG-13,Jason Biggs,Hank Nelken,09/02/2001,22000000,19351569,90,5.9,34712,2001
Payam Films,Iran,Babak Payami,Comedy,Secret Ballot,G,Nassim Abdi,Mohsen Makhmalbaf,26/10/2001,0,114183,100,6.7,1107,2001
Good Machine,USA,Todd Field,Crime,In the Bedroom,R,Tom Wilkinson,Robert Festinger,08/02/2002,1700000,35930604,130,7.5,33720,2001
Alliance Atlantis Communications,UK,Ronny Yu,Action,Formula 51,R,Samuel L. Jackson,Stel Pavlou,18/10/2002,28000000,5204007,93,6.3,44231,2001
Manhattan Pictures International,UK,Michael Apted,Drama,Enigma,R,Dougray Scott,Robert Harris,07/06/2002,0,4298329,119,6.4,18387,2001
Warner Bros.,USA,Michael Tollin,Comedy,Summer Catch,PG-13,Freddie Prinze Jr.,Kevin Falls,24/08/2001,34000000,19693891,108,5,13643,2001
Fine Line Features,USA,Alan Cumming,Comedy,The Anniversary Party,R,Alan Cumming,Jennifer Jason Leigh,29/06/2001,0,4013506,115,6.3,7603,2001
Bandai Visual Company,Japan,Shinichirô Watanabe,Animation,Cowboy Bebop: The Movie,R,Beau Billingslea,Marc Handler,16/05/2003,0,1000045,115,7.9,35003,2001
Regency Enterprises,USA,Tom Green,Comedy,Freddy Got Fingered,R,Tom Green,Tom Green,20/04/2001,14000000,14249005,87,4.5,41235,2001
Paramount Pictures,UK,Barry Skolnick,Comedy,Mean Machine,R,Vinnie Jones,Tracy Keenan Wynn,26/12/2001,0,92770,99,6.5,31212,2001
New Line Cinema,USA,Francine McDougall,Comedy,Sugar & Spice,PG-13,Marla Sokoloff,Mandy Nelson,26/01/2001,11000000,13276953,81,5.6,12035,2001
Twentieth Century Fox Film Corporation,USA,Henry Selick,Animation,Monkeybone,PG-13,Brendan Fraser,Kaja Blackley,23/02/2001,75000000,5411999,93,4.7,15048,2001
Paramount Pictures,USA,Brian Robbins,Drama,Hardball,PG-13,Keanu Reeves,Daniel Coyle,14/09/2001,32000000,40219708,106,6.4,23931,2001
Columbia Pictures Corporation,USA,John Boorman,Comedy,The Tailor of Panama,R,Pierce Brosnan,John le Carré,30/03/2001,18000000,13729742,109,6.1,25012,2001
Paramount Pictures,USA,Harold Becker,Crime,Domestic Disturbance,PG-13,John Travolta,Lewis Colick,02/11/2001,75000000,45207112,89,5.5,22199,2001
Franchise Pictures,USA,Renny Harlin,Action,Driven,PG-13,Sylvester Stallone,Jan Skrentny,27/04/2001,94000000,32616869,116,4.5,35770,2001
Universal Pictures,UK,John Madden,Drama,Captain Corelli's Mandolin,R,Nicolas Cage,Shawn Slovo,17/08/2001,57000000,25543895,131,5.9,29405,2001
Killer Films,USA,John Cameron Mitchell,Comedy,Hedwig and the Angry Inch,R,John Cameron Mitchell,John Cameron Mitchell,31/08/2001,6000000,3029081,95,7.8,27739,2001
FilmFour,UK,Gregor Jordan,Comedy,Buffalo Soldiers,R,Joaquin Phoenix,Robert O'Connor,31/10/2002,15000000,353743,98,6.9,21383,2001
Revolution Studios,USA,Luke Greenfield,Comedy,The Animal,PG-13,Rob Schneider,Tom Brady,01/06/2001,47000000,57743062,84,4.8,50142,2001
Universal Pictures,USA,Mark Waters,Comedy,Head Over Heels,PG-13,Monica Potter,John J. Strauss,02/02/2001,14000000,10397365,86,5.4,12325,2001
Twentieth Century Fox Film Corporation,USA,Gil Junger,Adventure,Black Knight,PG-13,Martin Lawrence,Darryl Quarles,21/11/2001,50000000,33422806,95,4.8,32829,2001
Artisan Entertainment,USA,Wayne Wang,Drama,The Center of the World,NOT RATED,Shane Edelman,Wayne Wang,18/05/2001,0,1096037,88,5.9,4177,2001
New Line Cinema,USA,Brian Koppelman,Crime,Knockaround Guys,R,Jennifer Baxter,Brian Koppelman,11/10/2002,0,11632420,92,6.1,20533,2001
Noé Productions,France,Danis Tanovic,Drama,Tierra de nadie,R,Branko Djuric,Danis Tanovic,24/05/2002,0,1059830,98,8,39646,2001
Touchstone Pictures,USA,John Stockwell,Drama,Crazy/Beautiful,PG-13,Kirsten Dunst,Phil Hay,29/06/2001,13000000,16929123,99,6.5,22201,2001
Franchise Pictures,USA,Demian Lichtenstein,Action,3000 Miles to Graceland,R,Kurt Russell,Richard Recco,23/02/2001,62000000,15738632,125,5.9,39439,2001
British Broadcasting Corporation (BBC),UK,Richard Eyre,Biography,Iris,R,Judi Dench,John Bayley,29/03/2002,5500000,1292119,91,7.1,15426,2001
Warner Bros.,USA,Andrzej Bartkowiak,Action,Exit Wounds,R,Steven Seagal,Ed Horowitz,16/03/2001,50000000,51758599,101,5.5,28779,2001
October Films,USA,Harald Zwart,Comedy,One Night at McCool's,R,Liv Tyler,Stan Seidel,27/04/2001,18000000,6290673,93,6.1,26528,2001
Miramax,USA,Lasse Hallström,Drama,The Shipping News,R,Kevin Spacey,Annie Proulx,18/01/2002,35000000,11434216,111,6.8,29749,2001
Daiei Eiga,Japan,Kiyoshi Kurosawa,Horror,Pulse,R,Haruhiko Katô,Kiyoshi Kurosawa,09/11/2005,0,49046,118,6.6,12875,2001
Metro-Goldwyn-Mayer (MGM),USA,Peter Howitt,Action,Antitrust,PG-13,Ryan Phillippe,Howard Franklin,12/01/2001,30000000,10965209,105,6.1,26399,2001
Franchise Pictures,USA,Luis Mandoki,Drama,Angel Eyes,R,Jennifer Lopez,Gerald Di Pego,18/05/2001,53000000,24044532,102,5.6,20298,2001
Film Council,UK,John McKay,Comedy,Crush,R,Andie MacDowell,John McKay,07/06/2002,0,1080072,108,5.9,3351,2001
Walt Disney Pictures,USA,Tim Hill,Comedy,Max Keeble's Big Move,PG,Alex D. Linz,David L. Watts,05/10/2001,25000000,17292381,86,5.4,6177,2001
3 Arts Entertainment,Germany,Chris Weitz,Comedy,Estrenando Cuerpo,PG-13,Chris Rock,Elaine May,16/02/2001,49000000,64186502,87,5.4,19724,2001
Alter Ego Entertainment,USA,Michael Cuesta,Crime,L.I.E.,R,Brian Cox,Stephen M. Ryder,14/11/2003,700000,1141829,97,7.2,8842,2001
Dharma Productions,India,Karan Johar,Drama,Kabhi Khushi Kabhie Gham...,NOT RATED,Shah Rukh Khan,Karan Johar,14/12/2001,0,2902000,210,7.5,34762,2001
New Line Cinema,USA,Peter Chelsom,Comedy,Town & Country,R,Warren Beatty,Michael Laughlin,27/04/2001,90000000,6719973,104,4.4,4284,2001
Morgan Creek Productions,USA,Les Mayfield,Action,American Outlaws,PG-13,Colin Farrell,Roderick Taylor,17/08/2001,35000000,13264986,94,6,12534,2001
Dimension Films,USA,Gary Fleder,Drama,Impostor,R,Shane Brolly,Philip K. Dick,04/01/2002,40000000,6114237,95,6.2,20767,2001
Fine Line Features,France,Michel Gondry,Comedy,Human Nature,R,Tim Robbins,Charlie Kaufman,12/04/2002,0,695876,96,6.4,16067,2001
Metro-Goldwyn-Mayer (MGM),USA,Sam Weisman,Comedy,What's the Worst That Could Happen?,PG-13,Martin Lawrence,Donald E. Westlake,01/06/2001,60000000,32095318,94,5.5,13245,2001
Greisman Productions,USA,Steve Miner,Action,Texas Rangers,PG-13,James Van Der Beek,George Durham,30/11/2001,38000000,623374,90,5.2,4922,2001
Revolution Studios,USA,Gregory Poirier,Comedy,Tomcats,R,Shannon Elizabeth,Gregory Poirier,30/03/2001,11000000,13558739,95,5.3,15912,2001
FilmFour,UK,Jez Butterworth,Comedy,Birthday Girl,R,Nicole Kidman,Tom Butterworth,01/02/2002,13000000,4919896,93,6.1,22359,2001
IFC Productions,India,Mira Nair,Comedy,Monsoon Wedding,R,Naseeruddin Shah,Sabrina Dhawan,26/04/2002,0,13876974,114,7.4,20856,2001
Arte France Cinéma,France,Claire Denis,Horror,Sangre caníbal,NOT RATED,Vincent Gallo,Claire Denis,11/07/2001,0,9189,101,6,5701,2001
DreamWorks,USA,Woody Allen,Comedy,The Curse of the Jade Scorpion,PG-13,Greg Stebner,Woody Allen,24/08/2001,33000000,7496522,103,6.8,33870,2001
Fox Searchlight Pictures,USA,Charles Herman-Wurmfeld,Comedy,Kissing Jessica Stein,R,Jennifer Westfeldt,Heather Juergensen,05/04/2002,1000000,7022940,97,6.6,14583,2001
Twentieth Century Fox Film Corporation,USA,Steve Carr,Comedy,Dr. Dolittle 2,PG,Eddie Murphy,Hugh Lofting,22/06/2001,70000000,112952899,87,4.7,36199,2001
Detour Filmproduction,USA,Richard Linklater,Drama,Tape,R,Ethan Hawke,Stephen Belber,12/07/2002,100000,490475,86,7.3,16687,2001
Artisan Entertainment,USA,Jon Favreau,Comedy,Made,R,Vince Vaughn,Jon Favreau,31/08/2001,5000000,5308707,95,6.4,15620,2001
Gaumont,France,Jean-Marie Poiré,Comedy,Just Visiting,PG-13,Jean Reno,Jean-Marie Poiré,06/04/2001,35000000,4777007,88,5.8,16103,2001
Twentieth Century Fox Film Corporation,USA,Vondie Curtis-Hall,Drama,Glitter,PG-13,Mariah Carey,Cheryl L. West,21/09/2001,22000000,4273372,104,2.2,20019,2001
Bandai Visual Company,Japan,Satoshi Kon,Animation,Millennium Actress,PG,Miyoko Shôji,Satoshi Kon,14/09/2002,0,37285,87,7.9,16917,2001
Arte France Cinéma,France,Catherine Breillat,Drama,Fat Girl,NOT RATED,Anaïs Reboux,Catherine Breillat,07/03/2001,0,724116,100,6.5,8715,2001
MDP Worldwide,Germany,Peter Hyams,Action,El mosquetero,PG-13,Justin Chambers,Alexandre Dumas,07/09/2001,40000000,27053815,104,4.7,13209,2001
Blow Up Pictures,USA,Nicole Holofcener,Comedy,Lovely & Amazing,R,Catherine Keener,Nicole Holofcener,02/08/2002,250000,4186931,91,6.9,6267,2001
Stonelock Pictures,USA,Jill Sprecher,Drama,Thirteen Conversations About One Thing,R,Alan Arkin,Karen Sprecher,05/07/2002,4500000,3288164,104,7.1,8888,2001
"Goatsingers, The",USA,Tim Blake Nelson,Drama,The Grey Zone,R,David Arquette,Miklos Nyiszli,30/11/2001,5000000,517872,108,7.1,9158,2001
3Mark Entertainment,USA,Mitch Davis,Adventure,The Other Side of Heaven,PG,Christopher Gorham,Mitch Davis,12/04/2002,7000000,4720371,113,6.5,3408,2001
Twentieth Century Fox Film Corporation,USA,J.B. Rogers,Comedy,Say It Isn't So,R,Chris Klein,Peter Gaulke,23/03/2001,25000000,5516708,95,4.9,11736,2001
Fireworks Pictures,USA,Éva Gárdos,Drama,An American Rhapsody,PG-13,Nastassja Kinski,Éva Gárdos,28/02/2002,0,850023,106,6.9,3417,2001
New Line Cinema,USA,Ernest R. Dickerson,Crime,Bones,R,Snoop Dogg,Adam Simon,24/10/2001,16000000,7307756,96,4.1,5852,2001
New Line Cinema,USA,Todd Solondz,Comedy,Storytelling,R,Selma Blair,Todd Solondz,09/05/2003,0,912442,87,6.9,15833,2001
Warner Bros.,USA,John Whitesell,Action,See Spot Run,PG,David Arquette,George Gallo,02/03/2001,35000000,33357476,94,5.4,7788,2001
Screen Gems,USA,Gary Hardwick,Comedy,The Brothers,R,Morris Chestnut,Gary Hardwick,23/03/2001,6000000,27457409,106,6.4,3480,2001
Excel Entertainment,India,Farhan Akhtar,Comedy,Dil Chahta Hai,NOT RATED,Aamir Khan,Kassim Jagmagia,24/07/2001,0,300000,183,8.2,54875,2001
Lions Gate Films,USA,DJ Pooh,Comedy,The Wash,R,Dr. Dre,DJ Pooh,14/11/2001,7000000,10097096,100,4.7,5897,2001
i5 Films,USA,Scott McGehee,Crime,The Deep End,R,Tilda Swinton,Elisabeth Sanxay Holding,31/08/2001,3000000,8821782,101,6.7,10111,2001
Ecosse Films,UK,Gillian Armstrong,Drama,Charlotte Gray,PG-13,Cate Blanchett,Sebastian Faulks,11/01/2002,20000000,668140,121,6.4,9455,2001
Instituto Nacional de Cine y Artes Audiovisuales (INCAA),Argentina,Juan José Campanella,Comedy,Son of the Bride,R,Ricardo Darín,Juan José Campanella,31/01/2003,0,624153,123,7.9,12533,2001
Screen Gems,USA,J.S. Cardone,Horror,The Forsaken,R,Kerr Smith,J.S. Cardone,27/04/2001,15000000,7288451,90,5.3,7560,2001
4k Films,Argentina,Lucrecia Martel,Comedy,La Ciénaga,NOT RATED,Mercedes Morán,Lucrecia Martel,12/04/2001,0,103215,103,7,3777,2001
Fireworks Pictures,UK,Sandra Goldbacher,Drama,Me Without You,R,Anna Friel,Sandra Goldbacher,23/11/2001,0,304909,94,7,3970,2001
Touchstone Pictures,USA,Rob Pritts,Comedy,Corky Romano,PG-13,Chris Kattan,David Garrett,12/10/2001,11000000,23978402,86,4.6,11303,2001
Manic LLC,USA,Jordan Melamed,Drama,Manic,R,Joseph Gordon-Levitt,Michael Bacall,23/05/2003,0,69716,100,7.4,8676,2001
Alcon Entertainment,USA,Charles Shyer,Drama,The Affair of the Necklace,R,Hilary Swank,John Sweet,07/12/2001,30000000,430313,100,6.1,4644,2001
Disney Television Animation,USA,Chuck Sheetz,Animation,Recess: School's Out,G,Andrew Lawrence,Paul Germain,16/02/2001,23000000,36696761,82,6.6,7522,2001
Alma UK Limited,UK,Bruce Beresford,Biography,Bride of the Wind,R,Sarah Wynter,Marilyn Levy,04/01/2002,12000000,419414,100,5.7,536,2001
Fox 2000 Pictures,USA,John Pasquin,Comedy,Joe Somebody,PG,Tim Allen,John Scott Shepherd,21/12/2001,38000000,22770864,98,5.5,8891,2001
Canal+,France,Jacques Audiard,Crime,Read My Lips,R,Vincent Cassel,Jacques Audiard,26/07/2002,0,1359133,115,7.4,11746,2001
Lions Gate Films,UK,Peter Bogdanovich,Drama,The Cat's Meow,PG-13,Kirsten Dunst,Steven Peros,03/05/2002,7000000,3209481,114,6.4,7093,2001
Lost Soul Productions,USA,Stephen Carpenter,Drama,Soul Survivors,PG-13,Melissa Sagemiller,Stephen Carpenter,07/09/2001,17000000,3100650,84,3.9,7504,2001
United Artists,USA,Roman Coppola,Drama,CQ,R,Jeremy Davies,Roman Coppola,31/05/2002,7000000,411034,88,6.3,4247,2001
MBP (Germany),Australia,Ray Lawrence,Drama,Parejas en conflicto,R,Anthony LaPaglia,Andrew Bovell,08/03/2002,0,4460426,121,7.3,17112,2001
Allegro Film,Austria,Ulrich Seidl,Drama,Dog Days,R,Maria Hofstätter,Veronika Franz,08/11/2002,0,13031,121,7.1,5262,2001
IMF Internationale Medien und Film GmbH & Co. Produktions KG,USA,Paddy Breathnach,Comedy,Blow Dry,R,Alan Rickman,Simon Beaufoy,30/03/2001,0,637769,94,6.3,7177,2001
Samuel Goldwyn Films,USA,Maria Ripoll,Comedy,Tortilla Soup,PG-13,Hector Elizondo,Hui-Ling Wang,31/08/2001,0,4447014,102,6.6,3663,2001
Werner Herzog Filmproduktion,UK,Werner Herzog,Drama,Invincible,PG-13,Jouko Ahola,Werner Herzog,17/01/2002,0,80636,133,6.5,3695,2001
Arclightz and Films Pvt. Ltd.,India,Santosh Sivan,Action,Ashoka the Great,R,Shah Rukh Khan,Saket Chaudhary,26/10/2001,0,702777,169,6.7,11597,2001
Screen Gems,USA,Mark Brown,Comedy,Two Can Play That Game,R,Vivica A. Fox,Mark Brown,07/09/2001,13000000,22235901,90,6.1,4642,2001
Arte,Germany,Sandra Nettelbeck,Comedy,Mostly Martha,PG,Martina Gedeck,Sandra Nettelbeck,27/09/2002,0,4160475,109,7.3,7121,2001
EuropaCorp,France,Gérard Krawczyk,Action,Wasabi,R,Jean Reno,Luc Besson,07/02/2003,0,81525,94,6.6,31525,2001
Bates Entertainment,USA,Doug McHenry,Comedy,Kingdom Come,PG,LL Cool J,David Dean Bottrell,11/04/2001,7000000,23247539,94,5.7,1846,2001
Sacher Film,Italy,Nanni Moretti,Drama,The Son's Room,R,Nanni Moretti,Nanni Moretti,09/03/2001,0,1014416,99,7.4,15598,2001
Universal Pictures,USA,Kasi Lemmons,Crime,The Caveman's Valentine,R,Samuel L. Jackson,George Dawes Green,20/09/2001,13500000,687194,105,6,5794,2001
Canal+ España,Spain,Juan Carlos Fresnadillo,Drama,Intacto,R,Max von Sydow,Juan Carlos Fresnadillo,09/11/2001,0,302675,108,6.9,11784,2001
A Happy Place,USA,Eric Bross,Comedy,On the Line,PG,Lance Bass,Eric Aronson,26/10/2001,10000000,4356743,85,4.1,3767,2001
Columbia TriStar Home Video,USA,Blair Treu,Comedy,Little Secrets,PG,Evan Rachel Wood,Jessica Barondes,23/08/2002,2500000,405182,96,6.5,2814,2001
Aboriginal Peoples Television Network,Canada,Zacharias Kunuk,Drama,Atanarjuat: The Fast Runner,R,Natar Ungalaaq,Paul Apak Angilirq,26/07/2002,0,3786801,172,7.5,5768,2001
Renaissance Films,UK,Rose Troche,Drama,The Safety of Objects,R,Glenn Close,A.M. Homes,24/10/2003,0,319125,121,6.6,3853,2001
Bavaria Film,Germany,Caroline Link,Biography,En algún lugar de África,R,Juliane Köhler,Caroline Link,16/05/2003,0,6173485,141,7.7,11175,2001
